#  x                 y             frequency           rot. str.
0.0      -0.472267207044      15.98      -3.47
0.500062507813      -0.502570911591      32.42      3.31
1.00012501563      -0.535226250363      42.82      -1.26
1.50018752344      -0.570441196689      58.07      8.67
2.00025003125      -0.608441409719      70.39      -10.47
2.50031253907      -0.649470851066      111.61      1.49
3.00037504688      -0.69379202946      139.53      -2.32
3.50043755469      -0.741685691392      151.13      -0.72
4.00050006251      -0.79344971483      160.17      4.66
4.50056257032      -0.849396885896      181.49      6.58
5.00062507813      -0.909851142702      199.82      -18.14
5.50068758595      -0.975141754722      221.62      2.73
6.00075009376      -1.04559477074      231.24      -0.11
6.50081260158      -1.12152091821      247.46      21.16
7.00087510939      -1.20319898333      257.28      -18.94
7.5009376172      -1.29085356678      265.60      14.27
8.00100012502      -1.38462603487      303.55      16.90
8.50106263283      -1.48453753221      316.91      36.21
9.00112514064      -1.59044318393      328.82      1.80
9.50118764846      -1.70197721913      344.49      -4.57
10.0012501563      -1.8184898474      359.83      1.37
10.5013126641      -1.93897847456      396.05      0.13
11.0013751719      -2.06201835916      417.04      -6.94
11.5014376797      -2.18570104552      430.60      4.55
12.0015001875      -2.30759253438      453.57      -10.93
12.5015626953      -2.424726403      472.78      -3.49
13.0016252032      -2.53364867827      516.11      -8.73
13.501687711      -2.63052950913      532.66      0.37
14.0017502188      -2.71134995359      542.13      23.34
14.5018127266      -2.77215978862      560.11      1.25
15.0018752344      -2.80938542772      577.94      12.55
15.5019377422      -2.82014963844      591.13      -4.82
16.00200025      -2.80255268748      607.16      0.79
16.5020627578      -2.75586366933      633.76      -8.23
17.0021252657      -2.68058394523      646.08      30.96
17.5021877735      -2.57836943596      652.23      -0.86
18.0022502813      -2.45182759498      663.36      -14.75
18.5023127891      -2.3042289284      674.48      -3.42
19.0023752969      -2.13918489454      706.11      -2.75
19.5024378047      -1.9603420117      722.74      -5.00
20.0025003125      -1.77112925529      749.39      -23.50
20.5025628204      -1.57457832332      771.53      -19.32
21.0026253282      -1.37321987214      792.30      -1.68
21.502687836      -1.16904699339      809.00      -41.47
22.0027503438      -0.963531070653      833.59      38.52
22.5028128516      -0.757673893382      846.24      41.57
23.0028753594      -0.55208185141      849.16      4.68
23.5029378672      -0.347051506146      867.79      10.85
24.003000375      -0.142659572196      880.84      -36.64
24.5030628829      0.0611464172035      905.59      -5.82
25.0031253907      0.264458105639      923.09      22.70
25.5031878985      0.467316907147      926.70      -5.36
26.0032504063      0.669624713005      940.50      -7.23
26.5033129141      0.871054779777      947.56      -3.28
27.0033754219      1.07096439095      963.55      -10.00
27.5034379297      1.26831334612      972.40      2.10
28.0035004376      1.46159557462      980.03      -1.08
28.5035629454      1.64879477751      987.82      2.12
29.0036254532      1.82737814485      1020.17      -3.05
29.503687961      1.99434356953      1027.32      8.34
30.0037504688      2.14633373708      1048.76      -21.12
30.5038129766      2.27982351783      1052.05      10.48
31.0038754844      2.39137473365      1069.52      -7.20
31.5039379922      2.47793611039      1074.78      32.53
32.0040005001      2.53715003143      1076.17      54.15
32.5040630079      2.56761733779      1102.45      -5.76
33.0041255157      2.56907227357      1119.66      52.34
33.5041880235      2.54243392757      1126.21      -11.88
34.0042505313      2.48972522038      1156.94      2.46
34.5043130391      2.41387815168      1169.30      -2.23
35.0043755469      2.31846581208      1172.07      -0.44
35.5044380548      2.20741135556      1176.50      5.72
36.0045005626      2.08472053665      1198.27      -1.97
36.5045630704      1.95427104946      1218.47      93.27
37.0046255782      1.8196745354      1223.93      -47.10
37.504688086      1.68421102591      1239.21      -55.93
38.0047505938      1.55082387266      1254.93      -9.24
38.5048131016      1.42215666252      1257.86      1.10
39.0048756095      1.30061144509      1277.00      -3.22
39.5049381173      1.18840853462      1287.45      41.90
40.0050006251      1.08763115483      1289.67      1.22
40.5050631329      1.00024278707      1295.77      -8.62
41.0051256407      0.92807114588      1313.46      -3.84
41.5051881485      0.872760062052      1330.75      -3.03
42.0052506563      0.835698444945      1338.21      -8.72
42.5053131641      0.817942351477      1344.61      -11.59
43.005375672      0.820149915214      1353.40      8.72
43.5054381798      0.842547732977      1354.83      6.24
44.0055006876      0.884940912919      1360.02      -32.21
44.5055631954      0.946768961709      1370.57      -0.14
45.0056257032      1.02719914893      1378.27      2.53
45.505688211      1.12524123482      1386.09      -10.68
46.0057507188      1.23986450817      1390.47      -2.50
46.5058132267      1.37009998668      1401.85      -7.53
47.0058757345      1.51511576132      1411.54      8.40
47.5059382423      1.67425955635      1427.23      -1.99
48.0060007501      1.84706773487      1458.04      9.66
48.5060632579      2.03324321096      1480.37      3.85
49.0061257657      2.23260593799      1492.13      -6.51
49.5061882735      2.445019316      1495.53      1.50
50.0062507813      2.67029471778      1498.77      26.52
50.5063132892      2.90807508337      1500.05      15.03
51.006375797      3.15769778194      1500.41      -25.91
51.5064383048      3.4180371964      1506.70      -9.76
52.0065008126      3.68732919504      1512.09      -9.26
52.5065633204      3.96298320351      1549.42      -0.97
53.0066258282      4.24139323196      1601.48      -27.68
53.506688336      4.51776686752      1624.76      11.44
54.0067508439      4.78600018952      1663.14      -6.16
54.5068133517      5.03863505901      2212.13      7.49
55.0068758595      5.26694025536      3006.33      4.68
55.5069383673      5.46115536098      3010.60      -0.02
56.0070008751      5.61092190612      3013.67      6.14
56.5070633829      5.70589774805      3029.70      -0.41
57.0071258907      5.7365101292      3041.56      -57.67
57.5071883985      5.6947588496      3045.10      29.48
58.0072509064      5.57494763732      3058.82      6.53
58.5073134142      5.37421428649      3060.14      31.82
59.007375922      5.0927573654      3061.58      -34.60
59.5074384298      4.73371567967      3062.00      7.40
60.0075009376      4.30272950866      3077.89      3.11
60.5075634454      3.80727672688      3085.51      14.89
61.0076259532      3.25591306119      3118.24      9.72
61.5076884611      2.65754675127      3133.06      -2.11
62.0077509689      2.02084989243      3136.90      2.94
62.5078134767      1.35386594285      3151.50      -0.18
