#  x                 y             frequency           rot. str.
0.0      -0.0217991194111      29.65      -0.59
0.500062507813      -0.0218668678853      36.38      -0.56
1.00012501563      -0.0219485006082      47.48      5.94
1.50018752344      -0.0220458045605      73.27      -13.09
2.00025003125      -0.0221607622936      86.61      8.06
2.50031253907      -0.0222955732774      133.92      -1.72
3.00037504688      -0.0224526776554      134.87      -2.52
3.50043755469      -0.0226347826861      141.74      -3.80
4.00050006251      -0.0228448921768      153.74      1.79
4.50056257032      -0.0230863392551      177.94      1.65
5.00062507813      -0.0233628228562      209.37      1.74
5.50068758595      -0.0236784483432      219.32      5.80
6.00075009376      -0.0240377727231      227.36      -8.71
6.50081260158      -0.0244458549589      245.45      3.12
7.00087510939      -0.0249083119267      266.59      3.04
7.5009376172      -0.0254313806063      309.05      0.76
8.00100012502      -0.0260219871364      323.22      -14.64
8.50106263283      -0.0266878233962      339.30      -10.67
9.00112514064      -0.0274374318008      349.39      -3.03
9.50118764846      -0.028280298999      375.65      -3.84
10.0012501563      -0.0292269591455      405.64      2.06
10.5013126641      -0.0302891073554      410.92      5.96
11.0013751719      -0.0314797238374      426.91      -31.73
11.5014376797      -0.032813209009      443.82      -11.88
12.0015001875      -0.0343055295961      461.08      29.76
12.5015626953      -0.0359743752739      476.98      -3.73
13.0016252032      -0.0378393247557      525.32      11.78
13.501687711      -0.039922019315      531.80      4.94
14.0017502188      -0.0422463404402      549.98      12.48
14.5018127266      -0.044838586549      552.12      -22.39
15.0018752344      -0.0477276412708      569.04      6.21
15.5019377422      -0.0509451225521      600.32      -1.29
16.00200025      -0.0545254974816      610.45      -13.62
16.5020627578      -0.0585061419839      637.69      -3.57
17.0021252657      -0.0629273169912      650.36      0.20
17.5021877735      -0.067832022974      661.14      18.60
18.0022502813      -0.073265682295      662.34      -19.92
18.5023127891      -0.0792755833077      677.31      3.77
19.0023752969      -0.0859100010825      697.38      -14.74
19.5024378047      -0.0932168870163      733.36      4.16
20.0025003125      -0.101241993817      770.52      -12.36
20.5025628204      -0.110026274866      786.25      -2.28
21.0026253282      -0.119602370785      801.75      -10.92
21.502687836      -0.129989976636      820.79      -49.64
22.0027503438      -0.141189879712      829.36      46.14
22.5028128516      -0.153176484076      840.70      33.66
23.0028753594      -0.165888713263      855.49      -8.45
23.5029378672      -0.179219331576      860.70      14.26
24.003000375      -0.193002974083      883.00      67.52
24.5030628829      -0.207003547955      899.40      -89.47
25.0031253907      -0.220902166396      904.00      11.04
25.5031878985      -0.234287364303      933.67      -22.18
26.0032504063      -0.246649919245      941.25      4.48
26.5033129141      -0.257384973776      944.44      -14.66
27.0033754219      -0.265804057095      964.32      -0.21
27.5034379297      -0.271158744452      984.73      5.62
28.0035004376      -0.272675883889      987.32      8.66
28.5035629454      -0.26960165305      990.74      2.01
29.0036254532      -0.261248698868      1018.86      21.96
29.503687961      -0.247038188534      1027.31      10.19
30.0037504688      -0.226527835544      1043.29      -13.04
30.5038129766      -0.199418598502      1051.93      13.43
31.0038754844      -0.165536721137      1060.75      12.16
31.5039379922      -0.124793097311      1069.18      31.89
32.0040005001      -0.077127039907      1079.93      0.22
32.5040630079      -0.0224449433463      1102.99      23.07
33.0041255157      0.0394347249943      1122.88      -38.90
33.5041880235      0.108820125209      1129.08      7.19
34.0042505313      0.186161673806      1150.09      -11.88
34.5043130391      0.272042011564      1156.66      2.21
35.0043755469      0.367142150586      1171.58      -3.08
35.5044380548      0.472189718432      1183.99      9.85
36.0045005626      0.587898286373      1210.79      -1.92
36.5045630704      0.71490809333      1223.55      -139.87
37.0046255782      0.853737462291      1227.35      31.49
37.504688086      1.0047507869      1244.87      16.47
38.0047505938      1.16814387352      1246.80      -9.19
38.5048131016      1.34394205703      1265.67      -22.77
39.0048756095      1.53200240431      1268.22      97.14
39.5049381173      1.73200952037      1275.82      -26.10
40.0050006251      1.94345518272      1285.56      -5.66
40.5050631329      2.16559473154      1303.72      -9.67
41.0051256407      2.3973770356      1325.59      13.57
41.5051881485      2.63734930545      1332.64      6.56
42.0052506563      2.88354279769      1336.95      -18.15
42.5053131641      3.13335062555      1344.69      -20.57
43.005375672      3.38341455718      1351.50      -4.33
43.5054381798      3.62954355192      1353.32      -5.75
44.0055006876      3.8666917975      1358.65      -22.09
44.5055631954      4.0890261424      1366.07      34.03
45.0056257032      4.29010927465      1378.84      0.01
45.505688211      4.4632130405      1381.23      17.07
46.0057507188      4.60175474044      1387.33      0.79
46.5058132267      4.69982025351      1404.18      11.54
47.0058757345      4.75270801768      1407.45      -7.01
47.5059382423      4.75740732217      1442.53      21.70
48.0060007501      4.71292304743      1471.47      22.01
48.5060632579      4.62038172312      1479.40      0.50
49.0061257657      4.4828963758      1490.73      -0.17
49.5061882735      4.30521741605      1491.93      8.01
50.0062507813      4.09323782865      1500.87      -7.53
50.5063132892      3.85344119988      1501.88      23.29
51.006375797      3.5923774637      1507.84      -20.66
51.5064383048      3.3162292551      1510.40      25.44
52.0065008126      3.03050168507      1516.64      1.15
52.5065633204      2.739840069      1546.69      -4.62
53.0066258282      2.4479598104      1610.67      16.01
53.506688336      2.15766203019      1634.66      -7.20
54.0067508439      1.87090621002      1662.99      19.97
54.5068133517      1.5889142376      2204.98      10.56
55.0068758595      1.31228595604      3001.38      -25.62
55.5069383673      1.04111251159      3011.12      6.56
56.0070008751      0.775079237998      3027.10      -6.37
56.5070633829      0.513554008434      3031.89      -0.45
57.0071258907      0.255659891153      3043.59      21.50
57.5071883985      0.000332761941209      3054.63      4.19
58.0072509064      -0.253634470448      3059.93      -7.88
