#  x                 y             frequency           rot. str.
0.0      -0.0812481884814      17.58      -0.70
0.500062507813      -0.0863724724989      23.55      0.01
1.00012501563      -0.0918621722779      41.99      3.76
1.50018752344      -0.0977490578537      47.34      -3.30
2.00025003125      -0.104067830988      78.88      -5.54
2.50031253907      -0.110856340886      132.88      4.38
3.00037504688      -0.118155788367      136.71      0.13
3.50043755469      -0.126010905239      142.34      2.85
4.00050006251      -0.134470090354      155.43      -5.69
4.50056257032      -0.143585476856      165.11      -3.47
5.00062507813      -0.153412896053      206.45      11.36
5.50068758595      -0.164011691644      215.16      -5.47
6.00075009376      -0.175444323178      221.89      3.24
6.50081260158      -0.187775679112      237.34      11.28
7.00087510939      -0.201071997288      262.14      1.67
7.5009376172      -0.215399264137      291.48      1.74
8.00100012502      -0.230820934116      314.41      21.85
8.50106263283      -0.247394779778      320.50      4.79
9.00112514064      -0.265168654585      347.11      10.83
9.50118764846      -0.28417493219      347.93      -7.44
10.0012501563      -0.304423389209      375.31      -13.72
10.5013126641      -0.325892340901      386.63      3.63
11.0013751719      -0.348517944994      418.92      -5.12
11.5014376797      -0.372181788342      427.60      3.71
12.0015001875      -0.396697196606      460.85      -6.49
12.5015626953      -0.421795183529      478.03      15.16
13.0016252032      -0.447111583138      514.96      -0.07
13.501687711      -0.472177633223      524.56      16.33
14.0017502188      -0.496416967009      543.24      -26.06
14.5018127266      -0.519152383524      557.37      -0.69
15.0018752344      -0.539625576422      561.85      28.57
15.5019377422      -0.557031863682      579.59      -0.34
16.00200025      -0.570569680966      601.06      -6.64
16.5020627578      -0.579501339344      616.48      -3.27
17.0021252657      -0.583217974209      632.52      23.67
17.5021877735      -0.581298856911      652.33      12.03
18.0022502813      -0.573554534169      657.52      -6.15
18.5023127891      -0.560045344699      664.83      -7.62
19.0023752969      -0.541071481079      703.55      1.45
19.5024378047      -0.517136596358      719.14      10.23
20.0025003125      -0.488892133039      765.20      -2.31
20.5025628204      -0.457072508986      773.79      -15.48
21.0026253282      -0.422431425725      807.44      -0.23
21.502687836      -0.385687346274      820.28      -4.62
22.0027503438      -0.347482770611      835.64      22.80
22.5028128516      -0.308358529306      849.34      6.74
23.0028753594      -0.268741743157      858.80      2.17
23.5029378672      -0.228944651395      865.96      -42.41
24.003000375      -0.189171068528      884.71      39.23
24.5030628829      -0.149527463269      898.64      -41.46
25.0031253907      -0.110036221798      903.10      1.80
25.5031878985      -0.0706493111246      930.32      46.80
26.0032504063      -0.0312611582429      941.83      -13.09
26.5033129141      0.00827994521228      942.68      2.79
27.0033754219      0.0481622197564      973.57      2.85
27.5034379297      0.0886025779005      979.39      2.62
28.0035004376      0.129840425297      988.80      -0.25
28.5035629454      0.172132764069      994.65      23.39
29.0036254532      0.21575019105      1022.89      -16.70
29.503687961      0.260973326915      1040.25      47.92
30.0037504688      0.308089169058      1050.14      -9.34
30.5038129766      0.357386816044      1056.87      17.08
31.0038754844      0.409151952285      1063.40      35.51
